,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind speed,Country,Date
83,kahului,20.8947,-156.47,79.84,74,20,11.01,US,1668968591
84,whyalla,-33.0333,137.5833,56.48,55,48,18.01,AU,1668968591
85,mandalgovi,45.7625,106.2708,19.85,48,1,5.82,MN,1668968591
86,beloha,-25.1667,45.05,71.06,85,100,13.56,MG,1668968591
87,atuona,-9.8,-139.0333,77.38,73,25,12.37,PF,1668968592
88,bengkulu,-3.8004,102.2655,74.37,91,80,5.21,ID,1668968592
89,nizwa,22.9333,57.5333,74.37,43,0,9.46,OM,1668968592
90,eloy,32.7559,-111.5548,66.06,33,0,9.48,US,1668968592
91,huarmey,-10.0681,-78.1522,69.98,73,86,9.86,PE,1668968592
92,hoshcha,50.6003,26.6744,27.48,98,99,5.91,UA,1668968592
93,bambous virieux,-20.3428,57.7575,75.45,73,40,8.05,MU,1668968592
94,clyde river,70.4692,-68.5914,-10.97,84,0,8.05,CA,1668968295
95,anloga,5.7947,0.8973,81.99,77,95,12.88,GH,1668968593
96,fairhope,30.523,-87.9033,50.02,50,0,14.97,US,1668968593
97,vila franca do campo,37.7167,-25.4333,67.19,90,99,13.02,PT,1668968593
98,cayenne,4.9333,-52.3333,86.04,66,100,12.66,GF,1668968593
99,tuatapere,-46.1333,167.6833,51.82,96,45,4.7,NZ,1668968593
100,prince rupert,54.3161,-130.3201,44.29,91,100,24.16,CA,1668968593
101,ust-kuyga,70.0167,135.6,-14.55,100,98,1.34,RU,1668968593
102,ballina,-28.8667,153.5667,68.49,52,91,5.44,AU,1668968593
103,souillac,-20.5167,57.5167,75.58,73,40,8.05,MU,1668968593
104,palamos,41.8484,3.1291,55.02,55,42,3.0,ES,1668968594
105,vardo,70.3705,31.1107,35.58,80,100,6.91,NO,1668968594
106,fairbanks,64.8378,-147.7164,17.6,86,0,0.0,US,1668968594
107,zeya,53.75,127.2667,16.09,95,100,3.83,RU,1668968594
108,pocatello,42.8713,-112.4455,25.02,63,0,4.61,US,1668968594
109,bluff,-46.6,168.3333,53.46,92,95,7.85,NZ,1668968594
110,hambantota,6.1241,81.1185,76.93,87,11,5.1,LK,1668968594
111,port blair,11.6667,92.75,79.84,79,99,5.21,IN,1668968594
112,bairiki,1.3292,172.9752,80.6,83,40,5.75,KI,1668968594
113,porto novo,6.4965,2.6036,82.22,80,87,9.8,BJ,1668968595
114,yulara,-25.2406,130.9889,69.84,26,97,14.5,AU,1668968595
115,ust-nera,64.5667,143.2,-12.84,99,100,4.21,RU,1668968397
116,kawalu,-7.3817,108.2082,70.38,98,60,1.3,ID,1668968595
117,mosquera,4.7059,-74.2302,64.49,72,75,11.5,CO,1668968595
118,nukus,42.4531,59.6103,48.18,57,0,2.3,UZ,1668968595
119,chuy,-33.6971,-53.4616,81.48,55,32,11.21,UY,1668968595
120,sambava,-14.2667,50.1667,74.52,78,3,6.11,MG,1668968596
121,tautira,-17.7333,-149.15,76.44,74,47,13.65,PF,1668968596
122,angoche,-16.2325,39.9086,79.3,78,0,15.01,MZ,1668968596
123,meulaboh,4.1363,96.1285,75.74,89,100,3.11,ID,1668968596
124,chernogorsk,53.8236,91.2842,13.57,62,97,0.0,RU,1668968596
125,alice springs,-23.7,133.8833,63.95,72,91,0.0,AU,1668968596
126,koundara,12.4833,-13.3,85.57,23,66,2.21,GN,1668968596
127,aki,33.5,133.9,60.96,79,96,5.88,JP,1668968596
128,katsuura,35.1333,140.3,55.42,73,100,7.05,JP,1668968596
129,provideniya,64.3833,-173.3,21.09,91,100,11.34,RU,1668968597
130,plettenberg bay,-34.0527,23.3716,59.38,79,44,3.85,ZA,1668968597
131,mirabad,30.4362,61.8383,65.59,32,25,8.01,AF,1668968597
132,ust-tsilma,65.441,52.1498,32.85,95,100,8.57,RU,1668968597
133,avarua,-21.2078,-159.775,75.25,64,75,10.36,CK,1668968402
134,arlit,18.7369,7.3853,81.1,10,65,7.52,NE,1668968418
135,kutum,14.2,24.6667,69.35,16,3,9.1,SD,1668968597
136,victoria,22.2855,114.1577,76.32,79,34,5.99,HK,1668968324
137,kalmunai,7.4167,81.8167,74.52,85,8,10.09,LK,1668968597
138,mayo,38.8876,-76.5119,39.24,33,0,8.99,US,1668968597
139,mar del plata,-38.0023,-57.5575,65.08,94,100,14.97,AR,1668968524
140,port elizabeth,-33.918,25.5701,63.1,88,0,4.61,ZA,1668968522
141,torbay,47.6666,-52.7314,39.58,82,100,18.41,CA,1668968598
142,ugoofaaru,5.6667,73.0,80.28,81,98,15.82,MV,1668968598
143,saldanha,-33.0117,17.9442,62.65,81,17,24.18,ZA,1668968598
144,airai,-8.9266,125.4092,61.45,92,100,1.92,TL,1668968598
145,watauga,32.8579,-97.2547,52.21,40,0,6.91,US,1668968598
146,cockburn town,21.4612,-71.1419,85.96,58,40,13.8,TC,1668968598
147,lagoa,39.05,-27.9833,64.53,93,94,23.58,PT,1668968598
148,xichang,27.8964,102.2634,46.18,67,28,1.19,CN,1668968598
149,ilulissat,69.2167,-51.1,17.62,67,40,0.0,GL,1668968599
150,lovozero,68.005,35.0117,16.11,87,8,1.9,RU,1668968599
151,ibra,22.6906,58.5334,71.26,52,0,2.51,OM,1668968599
152,east london,-33.0153,27.9116,65.34,82,0,4.61,ZA,1668968599
153,kushalgarh,23.199,74.4507,67.23,36,0,7.67,IN,1668968599
154,kavaratti,10.5669,72.642,80.58,57,15,3.8,IN,1668968599
155,margate,51.3813,1.3862,46.69,82,21,4.0,GB,1668968333
156,chokurdakh,70.6333,147.9167,-31.72,100,98,5.48,RU,1668968433
157,bandarbeyla,9.4942,50.8122,79.3,71,99,18.14,SO,1668968599
158,male,4.1748,73.5089,82.35,83,75,17.27,MV,1668968509
159,gwadar,25.1216,62.3254,78.66,65,0,3.91,PK,1668968600
160,haines junction,60.7522,-137.5108,21.15,93,100,2.3,CA,1668968600
161,wonthaggi,-38.6044,145.5913,47.82,86,76,27.2,AU,1668968600
162,saint-augustin,51.226,-58.6502,20.57,82,94,9.26,CA,1668968600
163,belaya gora,68.5333,146.4167,-31.09,100,13,0.27,RU,1668968600
164,panorama,40.5878,23.0315,63.43,70,20,11.99,GR,1668968600
165,husavik,66.0449,-17.3389,42.44,82,97,15.41,IS,1668968600
166,aklavik,68.2191,-135.0107,24.8,93,100,12.66,CA,1668968600
167,hualmay,-11.0964,-77.6139,69.21,72,100,7.9,PE,1668968601
168,port-gentil,-0.7193,8.7815,76.96,88,40,2.3,GA,1668968601
169,saint george,37.1041,-113.5841,47.43,36,0,1.99,US,1668968601
170,naantali,60.4674,22.0243,30.85,80,100,12.66,FI,1668968537
171,sao filipe,14.8961,-24.4956,77.2,68,72,14.34,CV,1668968601
172,geraldton,-28.7667,114.6,55.81,82,1,9.22,AU,1668968601
173,muros,42.7762,-9.0603,61.09,91,100,11.83,ES,1668969100
174,tiksi,71.6872,128.8694,-13.09,100,96,3.47,RU,1668969100
175,black river,18.0264,-77.8487,85.89,60,21,8.43,JM,1668969100
176,christchurch,-43.5333,172.6333,60.91,91,100,5.75,NZ,1668969100
177,salalah,17.0151,54.0924,78.89,65,20,3.44,OM,1668969073
178,polyarnyy,69.1989,33.4478,19.24,85,9,7.47,RU,1668969101
179,sitka,57.0531,-135.33,48.09,71,100,8.05,US,1668969101
180,saint-francois,46.4154,3.9054,45.84,87,100,8.05,FR,1668969101
181,zalesovo,53.9939,84.7431,5.63,83,100,12.53,RU,1668969101
182,oriximina,-1.7656,-55.8661,95.18,37,84,5.79,BR,1668969101
183,abbeville,50.1,1.8333,53.56,83,60,14.92,FR,1668968872
184,neuquen,-38.9516,-68.0591,71.49,21,0,2.3,AR,1668969101
185,bathsheba,13.2167,-59.5167,86.61,70,20,20.71,BB,1668969101
186,poitiers,46.5833,0.3333,48.24,55,0,8.05,FR,1668968834
187,ribeira brava,32.65,-17.0667,67.01,61,23,4.23,PT,1668969102
188,maarianhamina,60.0973,19.9348,31.86,93,100,11.5,AX,1668969102
189,avera,33.194,-82.5271,47.55,31,100,7.05,US,1668969102
190,atyrau,47.1167,51.8833,42.82,93,75,8.95,KZ,1668969078
191,eureka,40.8021,-124.1637,55.2,88,94,1.99,US,1668969103
192,grand gaube,-20.0064,57.6608,75.6,70,2,1.99,MU,1668969103
193,mahina,-17.5065,-149.489,80.37,65,20,4.61,PF,1668969103
194,illapel,-31.6308,-71.1653,78.93,41,42,9.73,CL,1668969103
195,leisure city,25.4954,-80.4292,75.2,98,100,13.8,US,1668969103
196,dikson,73.5069,80.5464,-19.46,94,19,5.91,RU,1668969103
197,changping,40.2186,116.2197,44.24,74,86,3.4,CN,1668969104
198,broome,42.2506,-75.833,29.86,62,100,11.5,US,1668969104
199,montauban,44.0833,1.5,49.51,91,100,6.91,FR,1668969004
200,shangrao,28.4532,117.9686,60.19,93,0,4.27,CN,1668969105
201,ponta do sol,32.6667,-17.1,67.01,61,24,4.65,PT,1668969105
202,omboue,-1.5746,9.2618,75.85,90,100,5.73,GA,1668969105
203,mirnyy,62.5353,113.9611,-12.77,83,78,1.99,RU,1668969105
204,buta,2.7858,24.73,72.32,83,74,1.61,CD,1668969106
205,lavrentiya,65.5833,-171.0,17.73,90,100,13.71,RU,1668969001
206,codrington,-38.2667,141.9667,44.65,81,84,22.48,AU,1668969106
207,santa rosa,14.3122,121.1114,80.58,94,100,6.51,PH,1668969106
208,hailar,49.2,119.7,2.12,93,12,7.34,CN,1668969106
209,abha,18.2164,42.5053,59.25,36,20,14.97,SA,1668968834
210,kupang,-10.1667,123.5833,77.58,94,75,4.61,ID,1668969107
211,visby,57.6409,18.296,27.05,100,40,6.91,SE,1668968897
212,ternate,0.8,127.4,80.76,80,100,3.62,ID,1668969107
213,sao joao da barra,-21.6403,-41.0511,84.29,74,24,11.88,BR,1668969108
214,xining,36.6167,101.7667,27.45,46,81,0.56,CN,1668969050
215,rawson,-43.3002,-65.1023,60.73,48,1,14.81,AR,1668969108
216,bukama,-9.2,25.85,70.32,85,14,1.66,CD,1668969109
217,adrar,20.5022,-10.0711,75.38,12,0,8.12,MR,1668969109
218,salinas,36.6777,-121.6555,66.79,34,0,14.97,US,1668969109
219,kodinsk,58.6881,99.1844,4.19,88,100,9.89,RU,1668969109
220,gamba,-2.65,10.0,75.45,89,100,3.62,GA,1668969110
221,henties bay,-22.116,14.2845,60.89,86,31,9.28,NA,1668969110
222,otse,-25.0167,25.7333,74.97,12,100,3.4,BW,1668969110
223,pangody,65.85,74.4859,-5.24,97,100,12.12,RU,1668969110
224,bousse,12.6606,-1.8922,82.02,17,55,8.52,BF,1668969110
225,havre-saint-pierre,50.2334,-63.5986,26.6,86,100,16.11,CA,1668969110
226,ancud,-41.8697,-73.8203,56.91,51,1,7.45,CL,1668969111
227,sabang,5.8933,95.3214,81.46,78,100,17.85,ID,1668969112
228,lodja,-3.4833,23.4333,73.81,80,97,1.99,CD,1668969112
229,berlevag,70.8578,29.0864,35.6,80,100,11.5,NO,1668969112
230,kropotkin,45.4375,40.5756,57.02,66,100,7.07,RU,1668969112
231,grindavik,63.8424,-22.4338,41.47,87,40,14.97,IS,1668969112
232,nanortalik,60.1432,-45.2371,28.58,83,100,12.73,GL,1668969112
233,mackay,-21.15,149.2,76.68,89,17,10.29,AU,1668969112
234,daru,-9.0763,143.2092,77.45,90,34,5.53,PG,1668969113
235,ust-ilimsk,58.0006,102.6619,11.17,85,87,9.8,RU,1668969113
236,vostok,46.4856,135.8833,16.2,98,75,3.94,RU,1668969113
237,talnakh,69.4865,88.3972,-11.61,94,100,4.29,RU,1668969113
238,itarema,-2.9248,-39.9167,83.23,67,58,18.25,BR,1668969113
239,narasannapeta,18.4167,84.05,72.21,63,100,7.56,IN,1668969113
240,atbasar,51.8,68.3333,3.49,97,28,2.48,KZ,1668969114
241,bodden town,19.2833,-81.25,88.0,71,20,11.5,KY,1668969114
242,ilyich,40.8464,68.5067,49.17,72,7,4.34,KZ,1668969114
243,beirut,33.8889,35.4944,68.74,64,18,3.44,LB,1668969115
244,ketchikan,55.3422,-131.6461,41.29,95,100,3.91,US,1668969115
245,jalu,29.0331,21.5482,68.88,23,100,9.26,LY,1668969115
246,norman wells,65.282,-126.8329,24.84,86,20,18.41,CA,1668969116
247,kosh-agach,50.0,88.6667,10.22,82,99,2.51,RU,1668969116
248,nizhnevartovsk,60.9344,76.5531,-17.99,83,0,2.24,RU,1668969116
249,kununurra,-15.7667,128.7333,80.58,89,100,0.0,AU,1668969116
250,kerema,-7.9631,145.7785,77.09,84,93,6.58,PG,1668969117
251,mahebourg,-20.4081,57.7,75.49,73,40,8.05,MU,1668969117
252,hay river,60.8156,-115.7999,24.78,93,100,10.36,CA,1668969117
253,narsaq,60.9167,-46.05,26.82,81,100,1.03,GL,1668969117
254,zhigansk,66.7697,123.3711,-20.11,100,100,6.98,RU,1668969117
255,college,64.8569,-147.8028,18.59,86,75,0.0,US,1668969117
256,guerrero negro,27.9769,-114.0611,69.82,32,4,4.32,MX,1668969118
257,gonzalez,30.5816,-87.2914,50.56,46,0,13.8,US,1668969118
258,kommunisticheskiy,61.6789,64.4819,13.5,96,94,6.85,RU,1668969118
259,auki,-8.7676,160.7034,76.51,83,9,4.52,SB,1668969119
